pair_index,pair_t0_ns,pair_t1_ns,gt_t0_ns,gt_t1_ns,gt_tx,gt_ty,gt_tz,gt_rot_err_rad_ref0,ceres_tx,ceres_ty,ceres_tz,ceres_t_err_m,ceres_r_err_rad,gpu_tx,gpu_ty,gpu_tz,gpu_t_err_m,gpu_r_err_rad,gpu_available
0,1771545054628869272,1771545054723568120,1771545054632322552,1771545054721804920,-3.90098e-06,7.82635e-05,-3.90815e-05,0,-0.00796594,-0.0108256,-0.0131945,0.0188508,0.0285894,-0.00798008,-0.0107979,-0.0131969,0.0188425,0.0286103,1
1,1771545054723568120,1771545054823367128,1771545054721804920,1771545054821614680,5.77366e-06,-2.69325e-05,4.65332e-06,0,-0.0180305,-0.026168,-0.0025563,0.0318625,0.0254944,-0.0180255,-0.0261636,-0.00255999,0.0318564,0.0255037,1
2,1771545054823367128,1771545054924489240,1771545054821614680,1771545054923312728,-2.30853e-05,-1.13308e-05,9.0932e-07,0,0.0063628,-0.0310894,-0.0281942,0.0424452,0.02272,0.00636655,-0.0311401,-0.0281775,0.0424718,0.0227672,1
3,1771545054924489240,1771545055023660152,1771545054923312728,1771545055025401464,-2.69796e-05,2.37375e-05,-4.29848e-05,0,-0.00175813,-0.0309924,0.00514103,0.031494,0.0233973,-0.001763,-0.0309135,0.00511576,0.0314124,0.0234635,1
4,1771545055023660152,1771545055124648504,1771545055025401464,1771545055125410168,2.60407e-05,8.76523e-05,-2.34075e-05,0,0.012767,-0.0426033,0.00324368,0.0446713,0.0115755,0.0127918,-0.0426572,0.00334159,0.0447371,0.0116166,1
5,1771545055124648504,1771545055225360280,1771545055125410168,1771545055225500376,5.86884e-06,-0.000138754,3.78083e-05,0,-0.0504609,-0.0281325,-0.00233494,0.0577597,0.0514864,-0.050315,-0.0280005,-0.00243875,0.0575726,0.0516506,1
6,1771545055225360280,1771545055324309176,1771545055225500376,1771545055325572664,5.72094e-07,3.55731e-05,9.76875e-06,0,0.0142693,-0.0132323,0.00699159,0.0206973,0.0195803,0.0142649,-0.0132121,0.00698777,0.02068,0.0195925,1
7,1771545055324309176,1771545055424323128,1771545055325572664,1771545055422997336,-4.12769e-05,1.51087e-05,5.22622e-06,0,0.00598807,-0.0263001,-0.00927531,0.0285477,0.0200793,0.00599038,-0.0263054,-0.00927386,0.0285526,0.0200793,1
8,1771545055424323128,1771545055523299064,1771545055422997336,1771545055521570328,2.14883e-05,-4.92786e-05,1.27657e-06,0,0.0318861,-0.00105111,0.0196768,0.0374631,0.0247252,0.0318822,-0.00102603,0.0196725,0.0374568,0.0247493,1
9,1771545055523299064,1771545055628997176,1771545055521570328,1771545055628881528,4.41328e-05,2.19535e-05,-2.01947e-05,0,0.0305569,-0.0464549,-0.0307652,0.0635325,0.0231617,0.0305665,-0.0464591,-0.0307675,0.0635413,0.023172,1
10,1771545055628997176,1771545055724406968,1771545055628881528,1771545055725477400,-3.71249e-05,-4.24489e-05,1.5014e-06,0,0.00628594,-0.00327842,-0.0273106,0.0282206,0.0418616,0.00627307,-0.00316494,-0.0273395,0.028233,0.0419498,1
11,1771545055724406968,1771545055823262424,1771545055725477400,1771545055823164152,1.17576e-05,7.91972e-05,-1.60118e-06,0,-0.0168733,-0.00277695,0.00961721,0.0196414,0.0152467,-0.0168711,-0.00276768,0.00961385,0.0196365,0.0152545,1
12,1771545055823262424,1771545055924514840,1771545055823164152,1771545055925606904,-2.49586e-05,-4.26427e-05,2.63163e-05,0,0.00134284,-0.0465338,-0.00950115,0.0474771,0.0195438,0.00135695,-0.0464914,-0.009519,0.0474395,0.0195803,1
13,1771545055924514840,1771545056023417848,1771545055925606904,1771545056023691992,5.17921e-05,3.18947e-05,-4.56973e-05,0,-0.00481439,-0.0730866,-0.0266496,0.07796,0.0111773,-0.00480607,-0.0731165,-0.0266416,0.0779848,0.0111773,1
14,1771545056023417848,1771545056124076632,1771545056023691992,1771545056122476760,-5.50477e-05,1.57109e-05,-1.5818e-05,0,0.0224865,0.0097349,-0.00967631,0.0263801,0.0174763,0.0224805,0.00975102,-0.00967866,0.0263818,0.01749,1
15,1771545056124076632,1771545056223378008,1771545056122476760,1771545056223285304,5.78768e-06,-5.7275e-05,4.55304e-05,0,0.00740803,-0.00444633,-0.00900786,0.0124908,0.00460644,0.00746664,-0.00444709,-0.00902034,0.0125349,0.00465791,1
16,1771545056223378008,1771545056324470328,1771545056223285304,1771545056325752984,1.84707e-05,2.01171e-05,2.2925e-05,0,0.0410468,-0.043461,-0.00210998,0.0598205,0.0210871,0.041055,-0.0434616,-0.00211268,0.0598266,0.0210928,1
17,1771545056324470328,1771545056424119832,1771545056325752984,1771545056425572440,-2.43851e-05,4.10431e-05,-2.83187e-05,0,-0.019768,0.0276332,-0.0211878,0.0399858,0.0419896,-0.0197694,0.0276896,-0.0212036,0.0400338,0.0420378,1
18,1771545056424119832,1771545056524751768,1771545056425572440,1771545056524623928,3.65897e-05,-2.97195e-05,-8.18562e-06,0,0.0103764,0.000167234,0.0216568,0.0240067,0.00371864,0.0103313,0.000235181,0.0216597,0.0239906,0.00378221,1
19,1771545056524751768,1771545056624407000,1771545056524623928,1771545056625744504,-4.13029e-05,-1.89041e-07,3.47385e-05,0,0.021899,0.0316345,0.0054972,0.0388841,0.0404594,0.0219366,0.0318307,0.00542305,0.0390547,0.0405977,1
20,1771545056624407000,1771545056724482328,1771545056625744504,1771545056725608408,6.09398e-05,4.86157e-06,-3.30293e-05,0,-0.0315639,0.0215875,0.00951269,0.0394596,0.0252123,-0.0315695,0.0215903,0.00951439,0.0394661,0.025217,1
21,1771545056724482328,1771545056825444472,1771545056725608408,1771545056825605848,-4.7057e-05,-1.65925e-05,-3.38425e-07,0,0.0184326,-0.0333907,-0.0460512,0.0597998,0.0248359,0.0184298,-0.0332578,-0.0460986,0.0597614,0.0249317,1
22,1771545056825444472,1771545056924610744,1771545056825605848,1771545056925426232,1.1201e-05,4.37659e-05,4.06365e-05,0,0.016038,0.00523298,0.00082585,0.0168642,0.0238765,0.0160385,0.00523408,0.000825392,0.0168651,0.0238765,1
23,1771545056924610744,1771545057024593528,1771545056925426232,1771545057025474776,-2.29174e-05,-4.61532e-05,-7.54642e-05,0,-0.0452804,-0.00672891,-0.0262889,0.0527261,0.0152624,-0.0452736,-0.00673341,-0.0262906,0.0527217,0.0152702,1
24,1771545057024593528,1771545057124489496,1771545057025474776,1771545057125506360,1.88322e-05,1.36702e-05,5.10862e-05,0,-0.0199222,-0.0456954,-0.023059,0.054964,0.0122169,-0.0199104,-0.0456514,-0.0230764,0.0549304,0.0122461,1
25,1771545057124489496,1771545057224274456,1771545057125506360,1771545057223217432,-2.76467e-05,4.10319e-05,1.78178e-06,0,0.0422742,-0.0309246,0.00729848,0.0529297,0.0311136,0.0422664,-0.0308892,0.00729432,0.0529022,0.0311404,1
26,1771545057224274456,1771545057323620696,1771545057223217432,1771545057321669976,6.16678e-05,-6.02288e-05,-3.30637e-05,0,0.00393777,-0.0118453,-0.0198946,0.0234178,0.0120201,0.00400229,-0.0118874,-0.0198103,0.0233784,0.0120893,1
27,1771545057323620696,1771545057423848824,1771545057321669976,1771545057421727544,-3.91782e-05,1.96591e-05,7.57671e-05,0,-0.0170757,0.00703218,-0.00687355,0.0196904,0.022011,-0.0170749,0.0070377,-0.00687555,0.0196924,0.0220219,1
28,1771545057423848824,1771545057524469944,1771545057421727544,1771545057525937144,3.64968e-05,2.02731e-05,-3.41208e-05,0,0.0117586,-0.018104,0.0306128,0.037485,0.0351241,0.0117488,-0.0180682,0.0306051,0.0374584,0.0351648,1
29,1771545057524469944,1771545057625926296,1771545057525937144,1771545057625790136,-5.16812e-05,-5.70898e-05,-4.74232e-06,0,-0.0395492,-0.0840496,-0.0151674,0.0940463,0.0272966,-0.0395691,-0.0841188,-0.0151345,0.0941111,0.0273359,1
